project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Build a Machine Learning Project,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $241282.,['Machine Learning'],347000,PLCS0320,2021-11-09,2021-02-23
Code a Machine Learning Project,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $247696.,['Machine Learning'],198000,PLCS0321,2022-08-03,2021-03-04
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $93473.,"['Data Analysis', 'UI/UX Design']",44000,PLCS0322,2021-06-22,2021-03-31
Implement a Web Development App,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 4 months of work and a budget of $329477.,['Web Development'],133500,PLCS0323,2022-06-19,2021-02-15
Implement a C++ Programming Platform,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $261609.,['C++ Programming'],93500,PLCS0324,2021-11-15,2021-05-31
Code a Web Development System,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 5 months of work and a budget of $67401.,"['Web Development', 'C++ Programming']",126000,PLCS0325,2022-08-24,2021-06-21
Design a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $272681.,['Android Mobile App Programming'],148000,PLCS0326,2021-09-02,2021-04-05
Design a C++ Programming System,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $167337.,"['C++ Programming', 'Data Analysis']",300000,PLCS0327,2021-07-28,2021-03-06
Create a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $289403.,"['Data Analysis', 'Machine Learning']",163500,PLCS0328,2022-11-10,2021-03-14
Code a Data Analysis App,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $250544.,['Data Analysis'],136000,PLCS0329,2021-06-08,2021-03-17
Build a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $43276.,['Android Mobile App Programming'],165000,PLCS0330,2022-11-02,2021-02-05
Code a Web Development Platform,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 6 months of work and a budget of $398413.,['Web Development'],93500,PLCS0331,2022-04-09,2021-04-13
Create a Web Development Platform,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 3 months of work and a budget of $51220.,"['Web Development', 'Data Analysis']",343500,PLCS0332,2022-05-17,2021-06-30
Create a Java Programming Tool,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $155058.,"['Java Programming', 'Web Development']",136000,PLCS0333,2021-11-25,2021-04-18
Implement a Web Development Platform,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 3 months of work and a budget of $268133.,['Web Development'],270000,PLCS0334,2021-06-21,2021-05-24
Create a C++ Programming System,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $277022.,"['C++ Programming', 'UI/UX Design']",201000,PLCS0335,2022-07-04,2021-06-04
Design a Data Analysis Tool,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $292525.,['Data Analysis'],265500,PLCS0336,2021-08-08,2021-04-26
Build a C++ Programming Project,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $337077.,"['C++ Programming', 'Web Development']",242000,PLCS0337,2022-03-15,2021-02-13
Implement a UI/UX Design Project,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $63793.,['UI/UX Design'],153000,PLCS0338,2022-12-01,2021-03-14
Build a Java Programming App,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $316405.,['Java Programming'],185500,PLCS0339,2022-05-03,2021-04-29
Create a UI/UX Design System,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $105142.,['UI/UX Design'],268000,PLCS0340,2021-11-29,2021-05-22
Build a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $42937.,"['Android Mobile App Programming', 'C++ Programming']",143500,PLCS0341,2022-06-26,2021-05-27
Develop a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $289954.,['Android Mobile App Programming'],80500,PLCS0342,2021-06-24,2021-05-30
Design a UI/UX Design App,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $267002.,['UI/UX Design'],362000,PLCS0343,2022-01-07,2021-05-23
Build a UI/UX Design Project,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $333322.,['UI/UX Design'],283000,PLCS0344,2022-01-09,2021-06-16
Design a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $233855.,['Data Analysis'],288500,PLCS0345,2021-04-03,2021-05-04
Design a Machine Learning Tool,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $325266.,['Machine Learning'],117500,PLCS0346,2022-11-07,2021-05-16
Implement a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $58743.,['UI/UX Design'],237500,PLCS0347,2021-04-11,2021-06-15
Code a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $246487.,['Machine Learning'],337000,PLCS0348,2021-06-03,2021-06-01
